KEY	DT_OPERACAO	VLR_RENDA_LIQUIDA	GRAU_DE_INSTRUCAO	VLR_SOLICITADO	VLR_PARCELA	UF	SEXO	QTD_PARCELAS	PRODUTO	ALVO	IDADE	SCORE
879	12/09/2016	1598.67	ENSINO MEDIO COMPLETO                                                                               	2502.01	550.00	SP	M	10	7831	1	74	87.36
880	15/08/2016	1295.96	EDUCACAO SUPERIOR COMPLETO                                                                          	2124.47	562.94	AL	M	12	7817	0	64	47.16
881	19/10/2016	577.85	ANALFABETO                                                                                          	404.59	81.23	RJ	M	12	7770	0	44	42.57
882	12/07/2016	579.96	EDUCACAO SUPERIOR INCOMPLETO                                                                        	1033.68	259.46	RS	M	12	7817	0	53	38.25
883	23/08/2016	575.52	ENSINO FUNDAMENTAL COMPLETO                                                                         	436.02	102.39	PR	M	12	7770	0	66	81.06
884	09/09/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1734.62	364.70	RS	F	12	7770	0	36	24.38
885	31/10/2016	1895.46	EDUCACAO SUPERIOR COMPLETO                                                                          	500.00	121.66	PA	M	12	7817	1	61	69.01
886	15/09/2016	636.07	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1094.41	275.35	SP	F	12	7817	0	47	47.60
887	26/08/2016	573.25	ENSINO MEDIO COMPLETO                                                                               	1119.16	253.13	RJ	F	12	7770	0	74	81.64
888	22/07/2016	1530.00	ENSINO FUNDAMENTAL COMPLETO                                                                         	2862.67	684.48	SP	M	12	7817	1	51	29.10
889	13/09/2016	880.00	ANALFABETO                                                                                          	1919.98	393.69	PE	F	12	7770	1	54	50.34
890	19/08/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1636.98	393.69	AL	F	12	7770	0	47	54.34
891	13/09/2016	4890.59	ENSINO MEDIO COMPLETO                                                                               	3500.00	801.90	RJ	F	10	7770	0	68	12.30
892	12/08/2016	575.72	ENSINO MEDIO COMPLETO                                                                               	1244.84	255.90	SP	F	12	7770	0	69	73.00
893	22/03/2016	880.00	ANALFABETO                                                                                          	1614.98	377.85	PE	F	12	7770	1	49	61.85
894	29/07/2016	593.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1167.39	265.29	CE	M	12	7817	0	52	57.12
895	23/08/2016	574.94	ENSINO MEDIO INCOMPLETO                                                                             	1126.76	257.21	PE	F	12	7770	0	46	65.12
896	10/08/2016	1486.82	ENSINO MEDIO COMPLETO                                                                               	2334.01	503.87	SP	M	12	7770	0	74	60.99
897	21/07/2016	1658.09	ENSINO MEDIO COMPLETO                                                                               	2923.14	596.50	BA	M	12	7770	0	41	24.23
898	14/09/2016	842.22	ENSINO MEDIO COMPLETO                                                                               	500.00	105.04	PE	F	12	7770	0	74	89.86
899	05/05/2016	2272.65	ENSINO MEDIO COMPLETO                                                                               	3325.18	836.09	PE	M	8	7770	0	71	55.42
900	08/07/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1617.00	374.12	PB	F	9	7770	1	38	40.30
901	03/06/2016	880.00	ANALFABETO                                                                                          	1475.79	335.39	CE	F	12	7770	0	69	48.45
902	26/07/2016	1082.36	ENSINO MEDIO COMPLETO                                                                               	500.01	114.88	BA	M	12	7770	0	67	73.10
903	09/09/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1464.29	393.52	BA	F	12	7817	0	35	22.60
904	19/10/2016	880.00	ENSINO MEDIO INCOMPLETO                                                                             	1200.00	248.98	BA	F	12	7770	0	58	59.77
905	27/10/2016	599.98	ENSINO MEDIO INCOMPLETO                                                                             	500.00	153.61	SP	F	11	7770	0	79	69.90
906	11/10/2016	616.35	ENSINO MEDIO COMPLETO                                                                               	867.23	207.31	RJ	M	12	7770	0	57	64.25
907	20/05/2016	572.00	4 SERIE COMPLETA DO ENSINO FUNDAMENTAL                                                              	1254.54	255.90	PB	F	12	7770	0	63	59.38
908	19/08/2016	2207.80	EDUCACAO SUPERIOR COMPLETO                                                                          	3000.00	854.65	AL	M	12	7770	1	29	22.58
909	24/10/2016	1208.05	DOUTORADO COMPLETO                                                                                  	2127.29	530.15	MG	F	12	7817	1	42	22.10
910	14/10/2016	335.48	ENSINO MEDIO COMPLETO                                                                               	627.85	147.48	MG	F	12	7770	0	28	48.62
911	08/09/2016	1202.02	ENSINO MEDIO INCOMPLETO                                                                             	600.00	127.42	SP	F	12	7770	0	65	74.24
912	24/08/2016	822.46	ENSINO MEDIO COMPLETO                                                                               	499.49	116.66	BA	M	12	7770	0	71	77.28
913	06/07/2016	2324.32	ENSINO MEDIO COMPLETO                                                                               	2757.68	629.91	PE	M	12	7770	0	53	12.24
914	04/08/2016	1537.77	ENSINO MEDIO INCOMPLETO                                                                             	1000.00	217.99	RS	M	12	7770	0	76	73.20
915	06/04/2016	572.00	ANALFABETO                                                                                          	436.28	90.66	PE	M	12	7770	0	79	84.69
916	27/01/2016	2433.32	ENSINO MEDIO COMPLETO                                                                               	800.00	180.16	PR	F	12	7770	0	58	73.77
917	14/09/2016	576.52	4 SERIE COMPLETA DO ENSINO FUNDAMENTAL                                                              	1373.11	285.75	PB	F	12	7831	0	56	88.39
918	08/07/2016	1179.39	ENSINO MEDIO COMPLETO                                                                               	800.00	174.89	PE	F	12	7770	0	50	74.00
919	29/07/2016	576.91	ENSINO MEDIO COMPLETO                                                                               	1000.00	219.94	PE	F	12	7770	0	48	72.33
920	04/08/2016	727.79	ENSINO FUNDAMENTAL COMPLETO                                                                         	1493.64	325.59	SP	F	12	7770	1	56	62.35
